""	"chr"	"pos"	"HeadingDays"	"PlantHeight"	"Biomass"	"Tillers"	"GrainYield"
"0100334436"	"1"	0	0.229295694783133	1.63110067013514	0.373097319553494	0.0334849852857246	0.00426406736804097
"c1.loc1"	"1"	1	0.152878292723528	1.34037113974595	0.262637938576731	0.0216929070284024	0.00440093975549871
"0100933149"	"1"	1.098945	0.145608210422623	1.30193378866331	0.251524665610319	0.0206559068019416	0.00441531382007554
"0101037320"	"1"	1.098945	0.145608210422573	1.30193378866328	0.25152466561029	0.0206559068019061	0.00441531382006133
"0101044419"	"1"	1.098945	0.145608210422573	1.30193378866328	0.25152466561029	0.0206559068019061	0.00441531382006133
"0101051618"	"1"	1.098945	0.145608210422573	1.30193378866328	0.25152466561029	0.0206559068019061	0.00441531382006133
"0101117375"	"1"	1.098945	0.145608210422587	1.30193378866328	0.251524665610305	0.0206559068019132	0.00441531382007554
"0101162495"	"1"	1.098945	0.145608210422573	1.30193378866328	0.25152466561029	0.0206559068019061	0.00441531382006133
"0101180952"	"1"	1.098945	0.145608210422573	1.30193378866328	0.25152466561029	0.0206559068019061	0.00441531382006133
"0101677827"	"1"	1.098945	0.145608210422573	1.30193378866328	0.25152466561029	0.0206559068019061	0.00441531382006133
"0101743228"	"1"	1.098945	0.145608210422573	1.30193378866328	0.25152466561029	0.0206559068019132	0.00441531382006133
"c1.loc2"	"1"	2	0.121192048936436	1.32233902858697	0.320983807073063	0.0106845017297843	0.000368202703697307
"c1.loc3"	"1"	3	0.0947089864501223	1.32370634312164	0.406021768156535	0.00264081171600594	0.00138525890343999
"c1.loc4"	"1"	4	0.0697216912132177	1.30072110123967	0.485461357016291	5.99181616749433e-05	0.00934803597664313
"c1.loc5"	"1"	5	0.0472845528703161	1.25255079905723	0.54928825571217	0.00513471263598575	0.0247629689192053
"c1.loc6"	"1"	6	0.0284771172676415	1.17893244008403	0.594824248480805	0.0183587996955623	0.0471000150008223
"c1.loc7"	"1"	7	0.0141890489529288	1.08025126543592	0.622855334019349	0.0377445548460713	0.0748548360017907
"c1.loc8"	"1"	8	0.00488458523086166	0.958941868751523	0.635339213631354	0.0600878492602988	0.106008867244185
"c1.loc9"	"1"	9	0.000498087555193649	0.822518535649564	0.634720638628323	0.082656722905142	0.13856638954968
"c1.loc10"	"1"	10	0.000513664627675325	0.685058081040708	0.623766841536977	0.103770313555714	0.170892809295935
"0101841895"	"1"	10.31523	0.00131775579337301	0.643702648773299	0.618605373129711	0.110018893378708	0.180902210278262
"0101859369"	"1"	10.31523	0.0013177557933588	0.643702648773285	0.618605373129668	0.110018893378708	0.180902210278234
"0101883377"	"1"	10.31523	0.0013177557933588	0.643702648773285	0.618605373129668	0.110018893378708	0.180902210278234
"0101926476"	"1"	10.31523	0.0013177557933588	0.643702648773285	0.618605373129654	0.110018893378708	0.180902210278234
"0101939886"	"1"	10.31523	0.00131775579339433	0.643702648773299	0.618605373129697	0.110018893378751	0.180902210278276
"c1.loc11"	"1"	11	0.00216478096058381	0.662406451497446	0.670317213191638	0.113648174371711	0.206919379917252
"c1.loc12"	"1"	12	0.00378639277163728	0.684650934271346	0.743556143622897	0.111937552571206	0.245046384793625
"0102071479"	"1"	12.867662	0.00557429816763744	0.699185319003107	0.804404680263261	0.103777958788285	0.277407509343789
"0102096842"	"1"	12.867662	0.00557429816761612	0.699185319003092	0.804404680263289	0.103777958788285	0.277407509343789
"0102103996"	"1"	12.867662	0.00557429816760191	0.699185319003064	0.804404680263275	0.103777958788271	0.27740750934376
"0102114225"	"1"	12.867662	0.00557429816760902	0.699185319003078	0.804404680263261	0.103777958788271	0.277407509343774
"c1.loc13"	"1"	13	0.0050793702358618	0.715275639030452	0.808376180719208	0.0981633775374036	0.275232145932321
"c1.loc14"	"1"	14	0.00202625648471155	0.835748127157316	0.826944776724957	0.0588491566835856	0.255570284977125
"c1.loc15"	"1"	15	0.000317410453412492	0.952920244544032	0.82164094213563	0.0273230815623862	0.229917076010068
"c1.loc16"	"1"	16	8.92806418661962e-05	1.06408004641251	0.787101184585964	0.00730689901853054	0.199134023463031
"0102273510"	"1"	16.39854	0.000407859787685538	1.10668191198198	0.764390432709547	0.00291165912104674	0.185845621963395
